id,moment,score,comment
pulse-0000,day_14,9,The team orientation was very well run.
pulse-0001,day_14,9,Wish the IT setup had been smoother on day one.
pulse-0002,day_14,7,Buddy has been incredibly helpful this week.
pulse-0003,day_14,10,Still finding my feet but everyone has been welcoming.
pulse-0004,day_14,7,The team orientation was very well run.
pulse-0005,day_14,10,Buddy has been incredibly helpful this week.
pulse-0006,day_14,9,Wish the IT setup had been smoother on day one.
pulse-0007,day_14,8,The team orientation was very well run.
pulse-0008,day_14,7,Wish the IT setup had been smoother on day one.
pulse-0009,day_14,7,Wish the IT setup had been smoother on day one.
pulse-0010,day_14,7,Wish the IT setup had been smoother on day one.
pulse-0011,day_14,7,Best first two weeks at any company I have joined.
pulse-0012,day_14,9,Wish the IT setup had been smoother on day one.
pulse-0013,day_14,8,The team orientation was very well run.
pulse-0014,day_14,9,The team orientation was very well run.
pulse-0015,day_14,7,Best first two weeks at any company I have joined.
