id,client,industry,status
engagement-0000,"Briggs, Young and Thomas Group",Energy & Utilities,closed
engagement-0001,Meridian,Insurance,active
engagement-0002,Atlas-Health,Healthcare,active
engagement-0003,Helios,Telecommunications,active
engagement-0004,Maldonado-Macias Corp,Insurance,closed
engagement-0005,"Reid, Weber and Lin Corp",Healthcare,active
engagement-0006,"Stewart, Gonzales and Harrison Group",Manufacturing,active
engagement-0007,"Turner, Hill and Brown Ltd",Media & Entertainment,active
engagement-0008,Northwind,Retail & CPG,active
engagement-0009,Decker-Jones Holdings,Media & Entertainment,active
engagement-0010,Gilbert PLC Ltd,Insurance,active
engagement-0011,Ford-Spencer Holdings,Manufacturing,active
engagement-0012,"Huang, Cole and Pacheco Ltd",Insurance,active
engagement-0013,"Lopez, Jacobs and Mason Holdings",Government & Public Sector,active
engagement-0014,Hayes LLC Corp,Transportation & Logistics,active
engagement-0015,"Miller, Lucas and Williams Group",Energy & Utilities,active
engagement-0016,"Kim, Gonzales and Mills Corp",Insurance,active
engagement-0017,Cox LLC Holdings,Life Sciences,active
engagement-0018,Ortiz-Morgan Ltd,Energy & Utilities,active
engagement-0019,"Williams, Mccoy and Cook Ltd",Energy & Utilities,active
